delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000,exp,1,8,20,6,127.1902437999961,,127.17543060000753,127.1902437999961,128.19038379995618,128.19038379995618,128.19038379995618,128.69333499995992,space,0.48652340000262484,None,128.69433440000284,128.8068713666328,129.1162826999789,129.10185189999174,129.10190589999547,129.1162826999789,129.1162826999789,129.1162826999789,131.97407409996958,967,1,[2.8699666000320576],[2.8699738000286743],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,1000,exp,1,9,21,5,131.98929100000532,,131.9747086999705,131.98929100000532,132.98939909995534,132.98939909995534,132.98939909995534,134.57466509996448,space,1.5772988999960944,None,134.57551499997498,135.28890136664657,135.60315379995154,135.59111969999503,135.5911611999618,135.60315379995154,135.60315379995154,135.60315379995154,138.05721889995039,954,1,[2.4636188999866135],[2.463645000010729],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,1,10,22,9,138.07148619997315,,138.0587103999569,138.07148619997315,139.07135869999183,139.07135869999183,139.07135869999183,140.09075899998425,space,1.00800769997295,None,140.09189599996898,140.20426476665696,140.5151985999546,140.50108489999548,140.50113599997712,140.5151985999546,140.5151985999546,140.5151985999546,143.63874719996238,956,1,[3.1348484000191092],[3.134866000036709],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,1000,exp,1,11,23,8,143.65351829997962,,143.63994759996422,143.65351829997962,144.65354169998318,144.65354169998318,144.65354169998318,145.37291909998748,space,0.7038076000171714,None,145.3738571999711,146.08658676664734,146.39513429999352,146.381343999994,146.38140229997225,146.39513429999352,146.39513429999352,146.39513429999352,149.83650609996403,956,1,[3.453159299970139],[3.4531686999835074],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,400,unexp,2,0,24,2,149.85229939996498,,149.83725109999068,149.85229939996498,150.85189130000072,150.85189130000072,150.85189130000072,151.47111609997228,space,0.609530099958647,None,151.47187119995942,152.1850102666688,152.49324869998964,152.48051439999836,152.48055399995064,152.49324869998964,152.49324869998964,152.49324869998964,155.3186268999707,956,1,[2.836082299996633],[2.8360917000100017],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,1000,exp,2,1,25,5,155.33422869996866,,155.31931219995022,155.33422869996866,156.33440369996242,156.33440369996242,156.33440369996242,157.48544859996764,space,1.1429170000483282,None,157.48616679996485,158.200611966666,158.5153527999646,158.50163579999935,158.50169449998066,158.5153527999646,158.5153527999646,158.5153527999646,162.18368679995183,956,1,[3.6798389999894425],[3.679847699997481],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,2,2,26,6,162.19935730000725,,162.18440009996993,162.19935730000725,163.19955229997868,163.19955229997868,163.19955229997868,164.1684545999742,space,0.9646544000133872,None,164.16910629998893,164.28258806665352,164.59652009996353,164.58160289999796,164.58168050000677,164.59652009996353,164.59652009996353,164.59652009996353,167.98413539998,956,1,[3.398985499981791],[3.398998999968171],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,400,unexp,2,3,27,1,167.9984827999724,,167.9851270999643,167.9984827999724,168.99845909996657,168.99845909996657,168.99845909996657,169.81612410000525,space,0.8128206999972463,None,169.8167539999704,170.23104476667166,170.54473049996886,170.53112309996504,170.53117749997182,170.54473049996886,170.54473049996886,170.54473049996886,172.73211569996784,584,1,[2.198725900030695],[2.198737800004892],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,2,4,28,9,172.7472763999831,,172.73283389996504,172.7472763999831,173.7469097999856,173.7469097999856,173.7469097999856,174.70042529999046,space,0.9397371000377461,None,174.70139740000013,174.81372886663692,175.12459389999276,175.11112209997373,175.1112487000064,175.12459389999276,175.12459389999276,175.12459389999276,178.83034159999806,956,1,[3.7167111999588087],[3.71671939996304],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,1000,exp,2,5,29,11,178.8460974000045,,178.83104719995754,178.8460974000045,179.8460295999539,179.8460295999539,179.8460295999539,181.29741609998746,space,1.4449291999917477,None,181.29801609995775,182.01225696661666,182.32486910000443,182.31173119996674,182.3117809999967,182.32486910000443,182.32486910000443,182.32486910000443,186.9293275999953,985,1,[4.614838599984068],[4.614850000012666],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,2,6,30,7,186.94442569999956,,186.93062840000493,186.94442569999956,187.9443062999635,187.9443062999635,187.96094349998748,188.3295026999549,space,0.36845459998585284,None,188.3301960999961,188.74419996666646,189.0589046999812,189.04434039996704,189.04439599998295,189.0589046999812,189.0589046999812,189.0589046999812,191.52740199997788,485,1,[2.48085049999645],[2.480856499983929],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,2,7,31,10,191.54325950000202,,191.5279074999853,191.54325950000202,192.5431047999882,192.5431047999882,192.5431047999882,193.22920859995065,space,0.6722602000227198,None,193.229898999969,193.64291646663722,193.9546439999831,193.94148219999624,193.9415214000037,193.9546439999831,193.9546439999831,193.9546439999831,196.9261053999653,864,1,[2.9827991999918595],[2.9828075999976136],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,1000,exp,2,8,32,8,196.9419347999501,,196.92666389996884,196.9419347999501,197.925388499978,197.925388499978,197.94220579997636,198.84459870000137,space,0.9150462999823503,None,198.84541429998353,199.55839376664179,199.86478149995673,199.85141929995734,199.8515078999917,199.86478149995673,199.86478149995673,199.86478149995673,205.7249989999691,945 ,1,[5.871453700005077],[5.871461600007024],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,2,9,33,3,205.74018759996397,,205.72575179999694,205.74018759996397,206.7400107999565,206.7400107999565,206.7400107999565,207.7418787999777,space,0.9997775999945588,None,207.74221319996286,207.85670056665938,208.1626756999758,208.15194489998976,208.1519690999994,208.1626756999758,208.1626756999758,208.1626756999758,212.55804209999042,495,1,[4.403782900015358],[4.403811600001063],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,2,10,34,4,212.57209089997923,,212.55943609995302,212.57209089997923,213.57227679999778,213.57227679999778,213.57227679999778,214.82472569996025,space,1.2437142000417225,None,214.8257265999564,215.23872046661953,215.5469396999688,215.53512939997017,215.5352031000075,215.5469396999688,215.5469396999688,215.5469396999688,218.98879779997515,845,1,[3.4512291999999434],[3.4512414999771863],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,400,unexp,2,11,35,0,219.00392399996053,,218.9898339000065,219.00392399996053,220.00375989999156,220.00375989999156,220.00375989999156,220.9895900999545,space,0.9817983999964781,None,220.99032989999978,221.10405226663377,221.41424660000484,221.40088489995105,221.40093149995664,221.41424660000484,221.41424660000484,221.41424660000484,225.7710809999844,956,1,[4.367600599944126],[4.367611199966632],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,3,0,36,9,225.78595729998779,,225.77201849996345,225.78595729998779,226.78626419999637,226.78626419999637,226.78626419999637,228.20339039998362,space,1.4120531000080518,None,228.20414449996315,228.31892346666817,228.63422919996083,228.6219376999652,228.6219795999932,228.63422919996083,228.63422919996083,228.63422919996083,231.5361028999905,956,1,[2.9119441999937408],[2.9119515999918804],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,1000,exp,3,1,37,5,231.55144259997178,,231.53686309995828,231.55144259997178,232.5514122999739,232.5514122999739,232.5514122999739,233.43677470000694,space,0.8812204000423662,None,233.43742529995507,234.1511869666322,234.46428139996715,234.45109459996456,234.45115129998885,234.46428139996715,234.46428139996715,234.46428139996715,237.41807009995682,945,1,[2.9644187000230886],[2.964426300022751],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
